code_uic;ville;villegare;region;departement;lat;lng
87543116;Saint-Cyr-en-Val La Source;SAINT CYR EN VAL GARE;REGION CENTRE;Loiret;47.8192;1.9476045
87543074;Toury;TOURY GARE;REGION CENTRE;Eure-et-Loir;48.193606;1.939565
87543033;Cercottes;CERCOTTES GARE;REGION CENTRE;Loiret;47.9861553;1.8849813
87543017;Les Aubrais;LES AUBRAIS ORLEANS GARE;REGION CENTRE;Loiret;47.926801;1.906629
87491803;Royan;ROYAN GARE;REGION POITOU-CHARENTES AQUITAINE;Charente-Maritime;45.625886;-1.016703
87491449;Cognac;COGNAC GARE;REGION POITOU-CHARENTES AQUITAINE;Charente;45.684682;-0.326112
87491357;Saint-Jean-d'Angély;SAINT JEAN D ANGELY GARE;REGION POITOU-CHARENTES AQUITAINE;Charente-Maritime;45.9407739;-0.5097829
87491266;Cubzac-les-Ponts;CUBZAC LES PONTS GARE;REGION POITOU-CHARENTES AQUITAINE;Gironde;44.9729407;-0.4590937
87491233;Aubie - Saint-Antoine;AUBIE ST ANTOINE GARE;REGION POITOU-CHARENTES AQUITAINE;Gironde;45.0151419;-0.4198843
87491142;Jonzac;JONZAC GARE;REGION POITOU-CHARENTES AQUITAINE;Charente-Maritime;45.4387456;-0.44164
87491043;Taillebourg;;;Charente-Maritime;45.8305696;-0.6451123
87487876;Les Rosiers-sur-Loire;LES ROSIERS SUR LOIRE GARE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.3625386;-0.2205371
87487843;La Bohalle;LA BOHALLE GARE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.4342356;-0.4000426
87485268;Prin-Deyrançon;PRIN DEYRANCON GARE;REGION POITOU-CHARENTES AQUITAINE;Deux-Sèvres;46.2190177;-0.6365007
87484386;Varades - Saint-Florent le Vieil;VARADES GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.3744471;-1.019712
87484352;Champtocé-sur-Loire;CHAMPTOCE SUR LOIRE HALTE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.4102457;-0.8685747
87484337;La Possonnière;LA POSSONNIERE GARE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.3713848;-0.6917009
87484329;Savennières - Béhuard;SAVENNIERES BEHUARD HALTE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.3817332;-0.6540004
87484154;Étriché - Châteauneuf;ETRICHE CHATEAUNEUF GARE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.6567082;-0.4608993
87484006;Angers Saint-Laud;ANGERS ST LAUD GARE;REGION PAYS DE LA LOIRE;Maine-et-Loire;47.464647;-0.556820
87481846;Pontchâteau;PONT CHATEAU GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.435399;-2.088201
87481820;Cordemais;CORDEMAIS GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.3021502;-1.8466771
87481788;Le Croisic;LE CROISIC GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.289836;-2.507442
87481705;Saint-Nazaire;SAINT NAZAIRE GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.286412;-2.211096
