Aisne,49.57061,3.62443,"Appareil photo, camscope/camras et accessoires protg (sac, sacoche,)",1
Aisne,49.57061,3.62443,Argent liquide / Espces,2
Aisne,49.8400482,3.2970089,"Attach-case, serviette",6
Aisne,49.57061,3.62443,Autre bagagerie,6
Aisne,49.57061,3.62443,Autre livre,1
Aisne,49.8400482,3.2970089,Autre optique,1
Aisne,49.8400482,3.2970089,Autre pice ou papier personnel,7
Aisne,49.57061,3.62443,Autres appareils et accessoires lectroniques,9
Aisne,49.57061,3.62443,"Autres articles de sport, de loisirs ou de camping",1
Aisne,49.8400482,3.2970089,"Autres articles enfants, bb",1
Aisne,49.57061,3.62443,Autres divers,25
Aisne,49.8400482,3.2970089,Autres instruments de musique,1
Aisne,49.8400482,3.2970089,Autres vtements,16
Aisne,49.8400482,3.2970089,Bande dessine,1
Aisne,49.8400482,3.2970089,"Bonnet, chapeau",5
Aisne,49.57061,3.62443,Calculatrice de poche,1
Aisne,49.57061,3.62443,"Cartable, trousse d'colier, dossier scolaire",1
Aisne,49.57061,3.62443,Carte Vitale,1
Aisne,49.8400482,3.2970089,Carte d'abonnement,2
Aisne,49.8400482,3.2970089,"Carte d'identit, passeport, permis de conduire",8
Aisne,49.57061,3.62443,Carte de crdit,6
Aisne,49.8400482,3.2970089,"Casque (vlo, moto)",3
Aisne,49.8400482,3.2970089,Chaussures (autre que chaussures de ski et patins),1
Aisne,49.57061,3.62443,Chquier,1
Aisne,49.57061,3.62443,Cl de voiture,1
Aisne,49.8400482,3.2970089,"Cls, porte-cls",14
Aisne,49.8400482,3.2970089,"Couteau de poche, autre couteau",1
Aisne,49.8400482,3.2970089,"Disque dur externe, cl USB",2
Aisne,49.8400482,3.2970089,"Doudou, peluche",1
Aisne,49.57061,3.62443,Flte,1
Aisne,49.8400482,3.2970089,"Foulard, charpe",4
Aisne,49.57061,3.62443,Gants,2
Aisne,49.8400482,3.2970089,Guitare,1
Aisne,49.8400482,3.2970089,"Landau, poussette d'enfants",2
Aisne,49.8400482,3.2970089,Lunettes,5
Aisne,49.8400482,3.2970089,Lunettes en tui,6
Aisne,49.8400482,3.2970089,"Manteau, veste, blazer, parka, blouson, cape",35
Aisne,49.57061,3.62443,Montre,1
Aisne,49.57061,3.62443,"Ncessaire, mallette de toilette, sac de maquillage",4
Aisne,49.57061,3.62443,"Ordinateur, ordinateur portable, notebook",11
Aisne,49.57061,3.62443,"Ordinateur, ordinateur portable, notebook protg (tui, housse,)",5
Aisne,49.8400482,3.2970089,"Outils, Accesoires",1
Aisne,49.57061,3.62443,"Parapluie-canne, parapluie  bandoulire",1
Aisne,49.8400482,3.2970089,Pice d'identit personnelle et autre,2
Aisne,49.8400482,3.2970089,"Porte-monnaie, portefeuille",111
Aisne,49.57061,3.62443,"Pull over, gilet",1
Aisne,49.8400482,3.2970089,Radiographie,2
Aisne,49.8400482,3.2970089,Sac  dos,135
Aisne,49.8400482,3.2970089,Sac  main,32
Aisne,49.8400482,3.2970089,"Sac d'enseigne (plastique, papier, )",35
Aisne,49.8400482,3.2970089,"Sac de voyage, sac de sport, sac  bandoulire",84
Aisne,49.8400482,3.2970089,"Sacoche pour ordinateur, photo, vido",7
Aisne,49.57061,3.62443,"Sacoche ventrale, banane",2
Aisne,49.8400482,3.2970089,Sige auto,1
Aisne,49.57061,3.62443,Tablette tactile,2
Aisne,49.57061,3.62443,"Tablette tactile protge (tui, housse)",5
Aisne,49.57061,3.62443,Tente,1
Aisne,49.57061,3.62443,Tlphone portable,180
Aisne,49.8400482,3.2970089,"Tlphone portable protg (tui, coque,)",25
Aisne,49.57061,3.62443,Trottinette,6
Aisne,49.8400482,3.2970089,"Valise, sac sur roulettes",71
Aisne,49.8400482,3.2970089,Vlo,5
Allier,46.561346,3.338842,"Appareil audio portable (lecteur de CD, baladeur MP3, iPod, ... )",1
Allier,46.126979,3.430448,"Appareil photo, camscope/camras et accessoires",2
Allier,46.126979,3.430448,"Appareil photo, camscope/camras et accessoires protg (sac, sacoche,)",1
Allier,46.338101,2.596159,"Appareils audio portables (lecteur de CD, baladeur MP3, iPod, etc. )",5
Allier,46.338101,2.596159,Argent liquide / Espces,1
Allier,46.126979,3.430448,"Attach-case, serviette",3
Allier,46.126979,3.430448,Autre bagagerie,7
Allier,46.338101,2.596159,Autre livre,1
Allier,46.338101,2.596159,Autre optique,1
Allier,46.126979,3.430448,Autre pice ou papier personnel,9
Allier,46.561346,3.338842,Autres appareils et accessoires lectroniques,5
Allier,46.126979,3.430448,Autres articles de papeterie,1
Allier,46.338101,2.596159,"Autres articles de sport, de loisirs ou de camping",2
Allier,46.126979,3.430448,"Autres articles enfants, bb",1
Allier,46.338101,2.596159,Autres divers,17
Allier,46.338101,2.596159,Autres vtements,6
Allier,46.338101,2.596159,Badge magntique,4
Allier,46.126979,3.430448,Bague,1
Allier,46.126979,3.430448,Billets SNCF,3
Allier,46.126979,3.430448,"Bonnet, chapeau",6
Allier,46.338101,2.596159,Bracelet,2
